Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
litmuschaos/litmus,Litmus ,PlatformOps,Chaos Testing,https://litmuschaos.io/,1441,48,2382,301,116,39,1515,TypeScript,https://github.com/litmuschaos/litmus
longhorn/longhorn,Longhorn,Data,Storage,https://longhorn.io/,2193,81,2147,215,30,55,277,Shell,https://github.com/longhorn/longhorn
strimzi/strimzi-kafka-operator,RedHat,Data,Streaming,https://strimzi.io/,2117,91,4149,509,103,73,2740,Java,https://github.com/strimzi/strimzi-kafka-operator
volcano-sh/volcano,Volcano,Data,Automation,https://volcano.sh/,1410,70,1230,309,106,12,774,Go,https://github.com/volcano-sh/volcano
thanos-io/thanos,CNCF,PlatformOps,Observability,https://thanos.io/,7357,229,3644,1050,300,52,2265,Go,https://github.com/thanos-io/thanos
kubeedge/kubeedge,CNCF,PlatformOps,Platform,https://kubeedge.io/,3404,156,2484,887,166,17,1519,Go,https://github.com/kubeedge/kubeedge
falcosecurity/falco,Sysdig,PlatformOps,Security,https://falco.org/,3331,110,1490,416,89,38,877,C++,https://github.com/falcosecurity/falco
projectcontour/contour,VMware,PlatformOps,TrafficManager,https://projectcontour.io/,2601,83,3226,438,121,49,1953,Go,https://github.com/projectcontour/contour
goharbor/harbor,VMware,PlatformOps,Catalog,https://goharbor.io/,13725,506,13873,3543,194,133,6187,Go,https://github.com/goharbor/harbor
jaegertracing/jaeger,RedHat,PlatformOps,Observability,https://www.jaegertracing.io/,12520,338,2663,1431,177,39,1386,Go,https://github.com/jaegertracing/jaeger
coredns/coredns,InfoBlox,Networking,DNS,https://coredns.io/,7010,222,4352,1209,229,51,2682,Go,https://github.com/coredns/coredns
rook/rook,CNCF,Data,Storage,rook.io,8156,280,6892,1741,300,71,3754,Go,https://github.com/rook/rook
ethereum/go-ethereum,Ethereum,Blockchain,Platform,,27573,2019,11104,10171,419,138,5861,Go,https://github.com/ethereum/go-ethereum
bigchaindb/bigchaindb,Bigchain,Blockchain,Database,https://www.bigchaindb.com/,3545,233,2714,727,66,51,1524,Python,https://github.com/bigchaindb/bigchaindb
corda/corda,Corda,Blockchain,Platform,corda.net,3470,304,6837,959,185,15,6244,Kotlin,https://github.com/corda/corda
